age_bin,type,percentage,source,plot_value,color_category
18-24,common,0.034846266471449484,EMICRON,3.4846266471449483,EMICRON_common
18-24,EMICRON_excess,0.022186943470544666,EMICRON,2.2186943470544667,EMICRON_EMICRON
18-24,common,0.034846266471449484,ZASCA,-3.4846266471449483,ZASCA_common
25-34,common,0.18067349926793558,EMICRON,18.067349926793558,EMICRON_common
25-34,EMICRON_excess,0.001040167979090928,EMICRON,0.1040167979090928,EMICRON_EMICRON
25-34,common,0.18067349926793558,ZASCA,-18.067349926793558,ZASCA_common
35-44,common,0.2307563314263453,EMICRON,23.07563314263453,EMICRON_common
35-44,common,0.2307563314263453,ZASCA,-23.07563314263453,ZASCA_common
35-44,ZASCA_excess,0.04654967150191239,ZASCA,-4.654967150191239,ZASCA_ZASCA
45-54,common,0.22731088298248567,EMICRON,22.731088298248565,EMICRON_common
45-54,common,0.22731088298248567,ZASCA,-22.731088298248565,ZASCA_common
45-54,ZASCA_excess,0.04121034688574274,ZASCA,-4.121034688574274,ZASCA_ZASCA
55-64,common,0.17510980966325038,EMICRON,17.510980966325036,EMICRON_common
55-64,EMICRON_excess,0.006879280183122588,EMICRON,0.6879280183122588,EMICRON_EMICRON
55-64,common,0.17510980966325038,ZASCA,-17.510980966325036,ZASCA_common
65-74,common,0.057686676427525625,EMICRON,5.768667642752563,EMICRON_common
65-74,EMICRON_excess,0.03958577650944046,EMICRON,3.958577650944046,EMICRON_EMICRON
65-74,common,0.057686676427525625,ZASCA,-5.768667642752563,ZASCA_common
75-99,common,0.005856515373352855,EMICRON,0.5856515373352855,EMICRON_common
75-99,EMICRON_excess,0.01806785024545635,EMICRON,1.806785024545635,EMICRON_EMICRON
75-99,common,0.005856515373352855,ZASCA,-0.5856515373352855,ZASCA_common
